City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,1.77,86,91,3.29,IS,2023-11-14 00:10:57
1,abepura,-2.6333,140.5833,28.45,79,20,1.54,ID,2023-11-14 00:10:57
2,adamstown,-25.066,-130.1015,22.83,84,94,7.36,PN,2023-11-14 00:10:57
3,georgetown,5.4112,100.3354,26.68,89,20,0.0,MY,2023-11-14 00:08:52
4,yellowknife,62.456,-114.3525,-6.71,86,100,2.06,CA,2023-11-14 00:10:57
5,aasiaat,68.7098,-52.8699,-9.93,84,100,1.5,GL,2023-11-14 00:10:57
6,vicam,27.6333,-110.2833,27.51,30,0,3.71,MX,2023-11-14 00:10:58
7,luderitz,-26.6481,15.1594,15.4,81,0,1.99,NA,2023-11-14 00:07:30
8,minas de marcona,-15.2119,-75.1103,14.56,87,74,6.15,PE,2023-11-14 00:10:58
9,longyearbyen,78.2186,15.6401,-10.09,79,100,3.6,SJ,2023-11-14 00:06:09
10,albany,42.6001,-73.9662,3.1,74,100,0.67,US,2023-11-14 00:10:58
11,rongelap,11.1635,166.8941,28.08,83,100,7.64,MH,2023-11-14 00:10:58
12,bikenibeu village,1.3673,173.1241,28.18,79,95,8.42,KI,2023-11-14 00:10:58
13,bloomington,44.8408,-93.2983,9.62,50,40,3.6,US,2023-11-14 00:09:03
14,grytviken,-54.2811,-36.5092,2.38,98,100,3.57,GS,2023-11-14 00:10:59
15,happy valley-goose bay,53.3168,-60.3315,-1.83,69,75,6.69,CA,2023-11-14 00:06:15
16,saipan,15.1355,145.701,31.39,70,20,7.72,MP,2023-11-14 00:06:27
17,waitangi,-43.9535,-176.5597,13.2,84,4,9.38,NZ,2023-11-14 00:10:59
18,akureyri,65.6835,-18.0878,0.96,80,75,1.03,IS,2023-11-14 00:10:59
19,jamestown,42.097,-79.2353,8.77,75,0,4.12,US,2023-11-14 00:10:56
20,genoa,44.4129,8.9573,16.56,88,40,1.03,IT,2023-11-14 00:11:00
21,lorengau,-2.0226,147.2712,27.83,80,84,3.24,PG,2023-11-14 00:11:00
22,hithadhoo,-0.6,73.0833,26.99,81,88,3.63,MV,2023-11-14 00:11:00
23,birao,10.2849,22.7882,24.58,69,35,1.82,CF,2023-11-14 00:11:00
24,weno,7.4515,151.8468,28.4,75,99,3.25,FM,2023-11-14 00:11:00
25,olonkinbyen,70.9221,-8.7187,-1.79,70,92,2.87,SJ,2023-11-14 00:11:00
26,avarua,-21.2078,-159.775,24.03,64,75,5.66,CK,2023-11-14 00:08:52
27,vorgashor,67.5833,63.95,-15.35,91,97,3.49,RU,2023-11-14 00:11:01
28,bredasdorp,-34.5322,20.0403,14.94,81,4,6.58,ZA,2023-11-14 00:11:01
29,colonia,50.9333,6.95,12.68,75,40,6.17,DE,2023-11-14 00:06:43
30,nova sintra,14.8667,-24.7167,23.75,72,80,4.74,CV,2023-11-14 00:11:02
31,port-aux-francais,-49.35,70.2167,6.86,97,100,16.64,TF,2023-11-14 00:11:02
32,gisborne,-38.6533,178.0042,20.99,36,90,5.76,NZ,2023-11-14 00:11:03
33,kodiak,57.79,-152.4072,6.73,49,40,7.2,US,2023-11-14 00:11:03
34,darasun,51.6667,114.0,-16.03,97,52,1.27,RU,2023-11-14 00:11:03
35,cafayate,-26.073,-65.9761,18.37,73,74,2.56,AR,2023-11-14 00:11:04
36,karratha,-20.7377,116.8463,24.41,50,30,6.04,AU,2023-11-14 00:11:04
37,trairi,-3.2778,-39.2689,26.55,79,25,4.88,BR,2023-11-14 00:07:26
38,vila franca do campo,37.7167,-25.4333,18.23,99,90,1.7,PT,2023-11-14 00:11:04
39,pariaman,-0.619,100.12,25.03,90,98,1.89,ID,2023-11-14 00:11:05
40,mugia,43.1041,-9.2179,18.84,97,100,11.84,ES,2023-11-14 00:11:05
41,badger,64.8,-147.5333,-3.34,93,100,0.89,US,2023-11-14 00:11:05
42,vilyuchinsk,52.9306,158.4028,-2.26,74,100,3.16,RU,2023-11-14 00:11:06
43,chittaranjan,23.8667,86.8667,18.44,51,58,2.47,IN,2023-11-14 00:06:47
44,iskateley,67.6803,53.1512,-11.1,88,100,4.02,RU,2023-11-14 00:11:06
45,hermanus,-34.4187,19.2345,15.76,78,5,9.38,ZA,2023-11-14 00:11:07
46,burutu,5.3509,5.5076,25.74,87,100,1.72,NG,2023-11-14 00:11:07
47,alice springs,-23.7,133.8833,30.75,16,20,6.17,AU,2023-11-14 00:07:41
48,tazovsky,67.4667,78.7,-19.15,96,8,3.59,RU,2023-11-14 00:11:08
49,alofi,-19.0595,-169.9187,25.3,87,100,8.58,NU,2023-11-14 00:11:08
50,timbuktu,16.7735,-3.0074,26.59,10,0,4.81,ML,2023-11-14 00:11:09
51,port mathurin,-19.6833,63.4167,24.05,94,20,0.0,MU,2023-11-14 00:11:09
52,severo-yeniseyskiy,60.3725,93.0408,-9.92,94,96,3.56,RU,2023-11-14 00:11:09
53,papatowai,-46.5619,169.4708,17.28,46,19,4.72,NZ,2023-11-14 00:06:14
54,playa del ingles,27.7567,-15.5787,24.86,68,9,3.72,ES,2023-11-14 00:11:10
55,port elizabeth,-33.918,25.5701,17.16,77,100,5.14,ZA,2023-11-14 00:11:10
56,west island,-12.1568,96.8225,25.99,83,100,3.6,CC,2023-11-14 00:11:11
57,anadyr,64.75,177.4833,-11.72,72,33,13.86,RU,2023-11-14 00:11:11
58,margaret river,-33.95,115.0667,16.19,81,98,5.31,AU,2023-11-14 00:11:11
59,ribeira brava,32.65,-17.0667,21.35,78,45,0.83,PT,2023-11-14 00:11:11
60,tommot,58.9564,126.2925,-18.86,98,97,1.03,RU,2023-11-14 00:07:39
61,abalak,58.1286,68.5944,-0.92,95,100,4.43,RU,2023-11-14 00:11:12
62,kone,-21.0595,164.8658,27.88,40,11,3.45,NC,2023-11-14 00:11:13
63,college,64.8569,-147.8028,-3.29,92,100,1.34,US,2023-11-14 00:11:13
64,puerto ayora,-0.7393,-90.3518,23.64,96,80,2.68,EC,2023-11-14 00:11:10
65,lompoc,34.6391,-120.4579,20.08,66,0,4.47,US,2023-11-14 00:06:41
66,wailua homesteads,22.0669,-159.378,29.24,81,100,6.17,US,2023-11-14 00:11:13
67,flying fish cove,-10.4217,105.6791,25.82,78,100,4.12,CX,2023-11-14 00:11:14
68,ribeira grande,38.5167,-28.7,15.99,91,100,1.34,PT,2023-11-14 00:11:14
69,al kharijah,25.4514,30.5464,23.28,49,0,5.28,EG,2023-11-14 00:11:14
70,mossel bay,-34.1831,22.146,15.74,85,42,8.04,ZA,2023-11-14 00:10:56
71,iqaluit,63.7506,-68.5145,-17.95,64,14,2.68,CA,2023-11-14 00:11:15
72,mount gambier,-37.8333,140.7667,14.17,67,100,1.07,AU,2023-11-14 00:11:15
73,prado,-17.3411,-39.2208,24.75,81,55,6.61,BR,2023-11-14 00:11:16
74,blackmans bay,-43.0167,147.3167,15.07,50,62,0.89,AU,2023-11-14 00:11:17
75,monzon,41.9108,0.1941,15.68,79,51,0.59,ES,2023-11-14 00:11:17
76,arys,42.4252,68.795,4.66,60,0,3.34,KZ,2023-11-14 00:11:18
77,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,2023-11-14 00:11:18
78,whitehorse,60.7161,-135.0538,-4.43,85,100,9.39,CA,2023-11-14 00:11:19
79,belyy yar,53.6039,91.3903,-9.06,92,82,2.0,RU,2023-11-14 00:11:19
80,freetown,8.484,-13.2299,26.7,84,99,1.49,SL,2023-11-14 00:11:19
81,ilulissat,69.2167,-51.1,-3.99,63,75,7.2,GL,2023-11-14 00:11:20
82,rundu,-17.9333,19.7667,24.52,35,18,1.29,NA,2023-11-14 00:11:20
83,porto novo,6.4965,2.6036,26.25,87,2,1.93,BJ,2023-11-14 00:11:20
84,rosetta,31.4044,30.4164,21.7,70,0,4.19,EG,2023-11-14 00:11:20
85,puerto natales,-51.7236,-72.4875,1.97,77,53,3.93,CL,2023-11-14 00:10:18
86,antofagasta,-23.65,-70.4,17.72,74,30,3.23,CL,2023-11-14 00:11:21
87,namibe,-15.1961,12.1522,23.3,62,100,2.86,AO,2023-11-14 00:06:51
88,richards bay,-28.783,32.0377,17.67,84,100,4.5,ZA,2023-11-14 00:11:22
89,ulladulla,-35.35,150.4667,27.09,65,77,3.66,AU,2023-11-14 00:11:22
90,peace river,56.2501,-117.286,-4.83,86,100,3.6,CA,2023-11-14 00:08:35
91,newman,37.3138,-121.0208,24.05,44,55,0.45,US,2023-11-14 00:11:22
92,bethel,41.3712,-73.414,6.42,73,75,1.54,US,2023-11-14 00:11:22
93,san patricio,28.017,-97.5169,17.69,92,100,5.31,US,2023-11-14 00:11:23
94,dakoro,14.5106,6.765,23.41,12,32,4.41,NE,2023-11-14 00:11:23
95,ballina,-28.8667,153.5667,25.99,67,51,3.03,AU,2023-11-14 00:11:23
96,arkhangel'sk,64.5401,40.5433,-3.26,91,97,3.21,RU,2023-11-14 00:11:24
97,st. john's,47.5649,-52.7093,0.54,81,100,1.79,CA,2023-11-14 00:10:44
98,ushuaia,-54.8,-68.3,3.81,65,40,8.75,AR,2023-11-14 00:11:24
99,whakatane,-37.9585,176.9854,21.05,76,100,2.24,NZ,2023-11-14 00:11:25
100,tolanaro,-25.0319,46.9987,21.41,81,42,2.12,MG,2023-11-14 00:11:25
101,nemuro,43.3236,145.575,4.38,61,59,8.34,JP,2023-11-14 00:11:25
102,odacho-oda,35.1833,132.5,10.2,70,16,3.52,JP,2023-11-14 00:11:25
103,la passe,45.5549,-0.8967,16.13,94,100,7.21,FR,2023-11-14 00:11:26
104,tongchuanshi,35.0806,109.0897,3.75,57,1,1.35,CN,2023-11-14 00:11:26
105,khemisset,33.6667,-6.25,21.19,35,100,0.76,MA,2023-11-14 00:11:27
106,edinburgh of the seven seas,-37.0676,-12.3116,13.64,77,7,11.14,SH,2023-11-14 00:11:01
107,talnakh,69.4865,88.3972,-16.55,95,100,5.71,RU,2023-11-14 00:11:27
108,wainwright,52.839,-110.8572,3.69,61,100,0.78,CA,2023-11-14 00:11:27
109,palmer,42.1584,-72.3287,4.17,67,100,0.0,US,2023-11-14 00:10:18
110,i-n-salah,27.1935,2.4607,20.77,28,0,5.1,DZ,2023-11-14 00:11:28
111,malanje,-9.5402,16.341,17.92,96,89,0.8,AO,2023-11-14 00:11:28
112,salahonda,2.1019,-78.7217,26.96,85,36,4.78,CO,2023-11-14 00:11:29
113,nsanje,-16.92,35.262,21.39,82,5,2.0,MW,2023-11-14 00:11:29
114,charters towers,-20.1,146.2667,28.7,29,0,5.73,AU,2023-11-14 00:07:12
115,ugoofaaru,5.6667,73.0,27.3,78,77,3.4,MV,2023-11-14 00:11:29
116,olyokminsk,60.3736,120.4264,-10.16,95,100,1.99,RU,2023-11-14 00:11:30
117,cabo san lucas,22.8909,-109.9124,29.78,67,22,1.71,MX,2023-11-14 00:00:29
118,hadibu,12.65,54.0333,26.05,87,96,4.73,YE,2023-11-14 00:11:31
119,akrehamn,59.2667,5.1833,6.34,52,89,5.66,NO,2023-11-14 00:11:31
120,motueka,-41.1333,173.0167,19.7,59,66,3.95,NZ,2023-11-14 00:11:31
121,almeirim,-1.5233,-52.5817,29.13,43,89,1.82,BR,2023-11-14 00:11:32
122,coyhaique,-45.5752,-72.0662,2.34,93,100,3.73,CL,2023-11-14 00:06:38
123,watsa,3.0372,29.5355,17.89,98,99,0.6,CD,2023-11-14 00:11:32
124,punta arenas,-53.15,-70.9167,3.95,64,67,7.08,CL,2023-11-14 00:11:33
125,kuta,-8.7233,115.1723,27.97,88,75,2.24,ID,2023-11-14 00:11:33
126,petauke,-14.2426,31.3253,24.44,51,37,4.73,ZM,2023-11-14 00:11:33
127,lobujya,27.95,86.8167,-8.99,23,46,0.68,NP,2023-11-14 00:11:33
128,yung shue wan,22.2333,114.1167,20.34,74,72,4.47,HK,2023-11-14 00:11:34
129,tiksi,71.6872,128.8694,-14.36,91,100,3.07,RU,2023-11-14 00:11:32
130,utrik,11.2278,169.8474,28.14,81,96,8.05,MH,2023-11-14 00:11:34
131,nagqu,31.5,92.0,-8.05,41,81,1.79,CN,2023-11-14 00:11:34
132,metlili chaamba,32.2667,3.6333,16.07,48,0,1.45,DZ,2023-11-14 00:11:35
133,arawa,-6.2132,155.5367,29.49,64,100,0.39,PG,2023-11-14 00:11:35
134,parham,17.0968,-61.7705,26.13,74,10,0.89,AG,2023-11-14 00:11:35
135,chivhu,-19.0211,30.8922,16.12,74,39,4.22,ZW,2023-11-14 00:11:35
136,diffa,13.3154,12.6113,26.69,20,83,3.93,NE,2023-11-14 00:11:35
137,balakhta,55.38,91.6,-1.29,98,100,5.07,RU,2023-11-14 00:11:16
138,wuda,39.4994,106.7117,-0.41,28,0,2.5,CN,2023-11-14 00:11:36
139,firuzabad,28.8438,52.5707,13.42,37,17,0.98,IR,2023-11-14 00:11:36
140,santa terezinha,-29.9002,-50.0904,20.53,96,100,2.16,BR,2023-11-14 00:11:37
141,lebu,-37.6167,-73.65,10.7,83,31,3.01,CL,2023-11-14 00:11:37
142,tindouf,27.6711,-8.1474,21.93,30,0,3.34,DZ,2023-11-14 00:11:37
143,cascais,38.6979,-9.4215,17.19,92,25,4.02,PT,2023-11-14 00:11:37
144,klyuchi,52.2667,79.1667,3.57,90,100,4.82,RU,2023-11-14 00:11:38
145,todos santos,23.45,-110.2167,28.02,63,27,1.34,MX,2023-11-14 00:11:38
146,karagay,58.2667,54.9368,3.7,96,100,5.24,RU,2023-11-14 00:11:38
147,fort mcmurray,56.7268,-111.381,-3.23,86,100,2.57,CA,2023-11-14 00:11:39
148,kalabo,-14.97,22.6814,23.96,56,55,3.04,ZM,2023-11-14 00:11:39
149,carnarvon,-24.8667,113.6333,21.2,69,59,3.28,AU,2023-11-14 00:11:05
150,sukumo,32.9333,132.7333,12.66,56,7,1.7,JP,2023-11-14 00:08:55
151,garissa,-0.4536,39.6401,25.44,84,92,4.33,KE,2023-11-14 00:11:40
152,kargil,34.5667,76.1,-3.41,50,4,1.12,IN,2023-11-14 00:10:05
153,oudtshoorn,-33.5907,22.2014,13.45,84,11,0.64,ZA,2023-11-14 00:11:40
154,lebork,54.5392,17.7501,4.95,81,100,4.56,PL,2023-11-14 00:11:40
155,nar'yan-mar,67.6713,53.087,-11.05,88,100,4.02,RU,2023-11-14 00:10:55
156,hami,42.8,93.45,2.8,30,100,5.49,CN,2023-11-14 00:11:41
157,tianpeng,30.9866,103.9393,10.91,86,100,1.84,CN,2023-11-14 00:11:41
158,chui,-33.6971,-53.4616,16.41,86,100,5.06,UY,2023-11-14 00:11:41
159,juneau,58.3019,-134.4197,2.0,92,100,5.14,US,2023-11-14 00:11:15
160,christchurch,-43.5333,172.6333,24.12,38,49,6.17,NZ,2023-11-14 00:11:42
161,brookings,44.3114,-96.7984,13.0,41,0,7.2,US,2023-11-14 00:11:42
162,fada,9.5667,8.3,22.01,40,84,1.82,NG,2023-11-14 00:11:42
163,atafu village,-8.5421,-172.5159,28.7,80,100,4.87,TK,2023-11-14 00:11:43
164,port saint john's,-31.6229,29.5448,16.79,79,100,3.32,ZA,2023-11-14 00:07:42
165,northam,51.0333,-4.2167,13.12,91,58,11.09,GB,2023-11-14 00:11:43
166,berezovyy,51.6667,135.7,-8.23,62,7,1.17,RU,2023-11-14 00:11:43
167,villa gesell,-37.2639,-56.973,13.92,51,56,5.65,AR,2023-11-14 00:11:44
168,krasnyy chikoy,50.3643,108.7512,-12.86,93,58,0.87,RU,2023-11-14 00:11:44
169,belen,36.4891,36.2233,13.08,95,75,4.12,TR,2023-11-14 00:11:44
170,port lincoln,-34.7333,135.8667,16.32,72,97,4.76,AU,2023-11-14 00:11:39
171,upper grand lagoon,30.1633,-85.7408,17.08,78,100,2.68,US,2023-11-14 00:11:45
172,crane,31.3974,-102.3501,11.34,83,100,3.67,US,2023-11-14 00:11:45
173,queenstown,-31.8976,26.8753,10.71,81,100,3.47,ZA,2023-11-14 00:11:45
174,addiet canna,11.2667,37.4833,14.95,83,79,1.17,ET,2023-11-14 00:11:45
175,bryne,58.7354,5.6477,6.1,63,0,4.63,NO,2023-11-14 00:11:46
176,djibo,14.1022,-1.6306,26.7,13,0,3.47,BF,2023-11-14 00:11:46
177,yuzhno-kurilsk,44.0306,145.8556,2.43,80,99,8.18,RU,2023-11-14 00:11:46
178,pavlohrad,48.5167,35.8667,5.79,70,100,1.45,UA,2023-11-14 00:11:47
179,constantia,44.1833,28.65,2.38,49,0,4.19,RO,2023-11-14 00:11:47
180,qaqortoq,60.7167,-46.0333,-5.94,93,100,1.26,GL,2023-11-14 00:11:47
181,thompson,55.7435,-97.8558,-1.91,86,100,2.06,CA,2023-11-14 00:11:48
182,jalesar,27.4833,78.3167,19.68,43,100,1.18,IN,2023-11-14 00:11:48
183,enewetak,11.3474,162.3373,28.39,80,93,8.67,MH,2023-11-14 00:11:48
184,kalmunai,7.4167,81.8167,24.75,89,91,1.97,LK,2023-11-14 00:11:48
185,fatehpur,25.9333,80.8,19.58,52,99,0.33,IN,2023-11-14 00:11:48
186,ancud,-41.8697,-73.8203,7.53,67,25,4.52,CL,2023-11-14 00:11:49
187,hasaki,35.7333,140.8333,12.94,42,0,5.35,JP,2023-11-14 00:11:49
188,bilibino,68.0546,166.4372,-28.08,100,100,2.0,RU,2023-11-14 00:11:50
189,hays,30.0502,-98.0336,17.08,87,78,4.58,US,2023-11-14 00:11:51
190,sosnovo-ozerskoye,52.5249,111.5418,-16.91,99,94,1.38,RU,2023-11-14 00:07:08
191,nova vicosa,-17.8919,-39.3719,24.96,81,66,7.45,BR,2023-11-14 00:11:12
192,walvis bay,-22.9575,14.5053,15.78,87,26,2.38,NA,2023-11-14 00:11:51
193,nassau,40.7507,-73.5829,8.85,74,75,1.54,US,2023-11-14 00:07:34
194,meulaboh,4.1363,96.1285,24.39,93,100,1.32,ID,2023-11-14 00:07:19
195,ridgecrest,35.6225,-117.6709,20.94,18,40,1.54,US,2023-11-14 00:09:50
196,klaksvik,62.2266,-6.589,7.51,78,29,10.7,FO,2023-11-14 00:11:52
197,kavieng,-2.5744,150.7967,28.38,69,99,1.43,PG,2023-11-14 00:11:52
198,jianshui,23.6363,102.8264,15.35,96,98,1.09,CN,2023-11-14 00:11:52
199,pattani,6.75,100.4167,24.84,95,100,0.97,TH,2023-11-14 00:11:53
200,qashar,53.3906,62.9297,4.88,84,100,8.61,KZ,2023-11-14 00:11:53
201,kurumkan,54.3,110.3,-9.37,92,98,1.79,RU,2023-11-14 00:11:53
202,hongch'on,37.6918,127.8857,1.4,55,96,0.76,KR,2023-11-14 00:11:54
203,solnechnyy,50.7214,136.6319,-14.43,76,24,0.91,RU,2023-11-14 00:11:54
204,la'ie,21.6477,-157.9253,28.98,75,86,3.58,US,2023-11-14 00:11:54
205,saldanha,-33.0117,17.9442,16.26,72,2,4.51,ZA,2023-11-14 00:11:55
206,ghanzi,-21.5667,21.7833,26.7,29,33,0.85,BW,2023-11-14 00:11:55
207,saint gabriel,30.2577,-91.0993,16.97,95,100,2.57,US,2023-11-14 00:11:55
208,hilo,19.7297,-155.09,27.85,70,40,3.6,US,2023-11-14 00:11:15
209,kaspiyskiy,45.3929,47.3707,10.34,87,99,5.0,RU,2023-11-14 00:11:55
210,afaahiti,-17.75,-149.2833,27.93,88,93,5.7,PF,2023-11-14 00:11:56
211,filiatra,37.15,21.5833,15.94,75,12,4.32,GR,2023-11-14 00:11:56
212,fukuecho,32.6881,128.8419,13.22,59,63,4.77,JP,2023-11-14 00:10:10
213,camana,-16.6228,-72.7111,19.18,84,71,2.97,PE,2023-11-14 00:10:18
214,mejit,10.2753,170.8646,27.98,81,68,8.02,MH,2023-11-14 00:11:34
215,stanley,54.868,-1.6985,8.77,88,20,7.2,GB,2023-11-14 00:11:57
216,noshiro,40.2039,140.0242,7.71,66,100,8.01,JP,2023-11-14 00:11:57
217,santa cruz,-17.8,-63.1667,29.7,70,20,4.12,BO,2023-11-14 00:07:24
218,korla,41.7597,86.1469,3.9,51,84,1.14,CN,2023-11-14 00:11:57
219,kitee,62.1,30.15,0.12,89,99,3.91,FI,2023-11-14 00:11:57
220,davos,46.8043,9.8372,5.19,98,100,1.94,CH,2023-11-14 00:11:57
221,ketchikan,55.3422,-131.6461,5.99,70,0,1.54,US,2023-11-14 00:11:58
222,heroica caborca,30.7167,-112.15,26.88,23,0,6.67,MX,2023-11-14 00:11:58
223,tazacorte,28.629,-17.9293,23.97,37,75,4.12,ES,2023-11-14 00:07:20
224,south hedland,-20.4089,118.5983,26.96,57,17,6.17,AU,2023-11-14 00:11:58
225,kachia,9.8667,7.95,22.07,27,95,2.04,NG,2023-11-14 00:11:58
226,kilindoni,-7.9139,39.6668,26.84,82,18,2.5,TZ,2023-11-14 00:11:59
227,taoudenni,22.6783,-3.9836,25.29,18,4,6.23,ML,2023-11-14 00:11:59
228,nanma,36.1817,118.1583,1.45,33,7,0.9,CN,2023-11-14 00:11:59
229,papao,-17.75,-149.55,28.82,90,98,6.23,PF,2023-11-14 00:11:59
230,linxia chengguanzhen,35.6003,103.2064,1.87,66,0,0.27,CN,2023-11-14 00:11:59
231,bealanana,-14.55,48.7333,18.01,92,48,0.06,MG,2023-11-14 00:12:00
232,kajuru,10.3192,7.6892,20.91,25,88,2.02,NG,2023-11-14 00:12:00
233,khandud,36.9513,72.318,-8.16,61,1,0.6,AF,2023-11-14 00:12:00
234,sturgis,41.7992,-85.4192,8.14,49,0,0.0,US,2023-11-14 00:12:00
235,ormara,25.2088,64.6357,24.45,55,58,1.7,PK,2023-11-14 00:12:01
236,samraong,12.4526,105.5873,25.35,76,70,3.29,KH,2023-11-14 00:12:01
237,holualoa,19.6228,-155.9522,26.39,75,40,5.14,US,2023-11-14 00:12:01
