City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,13.05,85,3,9.62,NZ,2023-11-13 23:03:57
1,grytviken,-54.2811,-36.5092,2.53,98,100,3.27,GS,2023-11-13 23:04:12
2,talayuela,39.987,-5.6098,14.44,89,63,1.08,ES,2023-11-13 23:04:12
3,klyuchi,52.2667,79.1667,4.01,89,100,4.98,RU,2023-11-13 23:04:13
4,olonkinbyen,70.9221,-8.7187,-2.21,69,95,2.89,SJ,2023-11-13 23:04:13
5,edinburgh of the seven seas,-37.0676,-12.3116,13.62,79,7,11.38,SH,2023-11-13 23:04:10
6,xam nua,20.4197,104.0439,15.06,99,100,0.77,LA,2023-11-13 23:04:13
7,iskateley,67.6803,53.1512,-13.32,97,100,3.58,RU,2023-11-13 23:03:32
8,tyukhtet,56.5389,89.3011,-0.13,98,100,4.47,RU,2023-11-13 23:04:14
9,corozal,9.3151,-75.2928,26.09,93,99,2.95,CO,2023-11-13 23:04:14
10,enewetak,11.3474,162.3373,28.4,80,96,8.33,MH,2023-11-13 23:04:14
11,lompoc,34.6391,-120.4579,23.21,64,0,5.14,US,2023-11-13 23:04:14
12,shimoda,34.6667,138.95,13.87,60,89,1.03,JP,2023-11-13 23:04:15
13,albany,42.6001,-73.9662,3.66,70,100,1.49,US,2023-11-13 23:00:45
14,yellowknife,62.456,-114.3525,-7.71,93,100,1.03,CA,2023-11-13 23:01:17
15,port-aux-francais,-49.35,70.2167,7.13,96,100,17.73,TF,2023-11-13 23:02:37
16,chibougamau,49.9168,-74.3659,-4.21,86,100,5.14,CA,2023-11-13 23:04:15
17,papatowai,-46.5619,169.4708,16.4,47,21,4.04,NZ,2023-11-13 23:02:05
18,la passe,45.5549,-0.8967,17.13,95,100,6.33,FR,2023-11-13 23:04:15
19,island harbour,50.724,-1.2758,13.85,86,63,4.02,GB,2023-11-13 23:04:16
20,vorkuta,67.5,64.0,-17.91,96,95,2.23,RU,2023-11-13 23:04:16
21,mossel bay,-34.1831,22.146,14.96,84,45,8.08,ZA,2023-11-13 23:04:16
22,bredasdorp,-34.5322,20.0403,15.15,82,4,6.68,ZA,2023-11-13 23:04:16
23,ushuaia,-54.8,-68.3,4.79,70,40,14.31,AR,2023-11-13 23:03:06
24,the pas,53.8251,-101.2541,2.01,80,75,3.09,CA,2023-11-13 23:03:10
25,topolobampo,25.6,-109.05,29.95,37,0,6.17,MX,2023-11-13 23:04:17
26,bilibino,68.0546,166.4372,-28.45,100,100,2.08,RU,2023-11-13 23:02:31
27,ribeira brava,32.65,-17.0667,22.06,76,52,0.52,PT,2023-11-13 23:04:17
28,tsiombe,-25.3,45.4833,21.58,80,93,1.58,MG,2023-11-13 23:04:17
29,nuuk,64.1835,-51.7216,-5.07,85,87,6.71,GL,2023-11-13 23:04:17
30,dabat,12.9842,37.765,13.75,71,51,2.02,ET,2023-11-13 23:04:18
31,iqaluit,63.7506,-68.5145,-19.06,70,20,3.09,CA,2023-11-13 23:00:33
32,pauini,-7.7136,-66.9764,28.88,64,83,1.59,BR,2023-11-13 23:04:18
33,kone,-21.0595,164.8658,26.86,41,24,2.46,NC,2023-11-13 23:04:18
34,alofi,-19.0595,-169.9187,25.94,89,100,6.69,NU,2023-11-13 23:04:18
35,rio grande,-32.035,-52.0986,20.06,95,100,5.94,BR,2023-11-13 23:04:07
36,ust-nera,64.5667,143.2,-31.39,98,65,2.25,RU,2023-11-13 23:04:18
37,bethel,41.3712,-73.414,6.42,69,94,1.87,US,2023-11-13 23:01:57
38,wailua homesteads,22.0669,-159.378,29.24,75,75,8.23,US,2023-11-13 23:04:19
39,vorgashor,67.5833,63.95,-16.88,93,96,2.99,RU,2023-11-13 23:04:19
40,lamar,33.6668,-95.5836,18.99,41,0,2.57,US,2023-11-13 23:04:19
41,mukalla,14.5425,49.1242,25.5,78,78,2.01,YE,2023-11-13 23:04:19
42,hawaiian paradise park,19.5933,-154.9731,27.73,74,40,4.63,US,2023-11-13 23:04:19
43,sosnovo-ozerskoye,52.5249,111.5418,-16.62,99,89,1.52,RU,2023-11-13 23:04:20
44,adamstown,-25.066,-130.1015,22.86,86,95,8.17,PN,2023-11-13 23:02:00
45,fada,9.5667,8.3,21.93,53,76,1.66,NG,2023-11-13 23:04:20
46,kijang,35.2442,129.2139,1.85,55,1,1.52,KR,2023-11-13 23:00:45
47,quiberon,47.4841,-3.1196,15.04,88,96,6.26,FR,2023-11-13 23:04:21
48,kodiak,57.79,-152.4072,6.73,45,20,8.23,US,2023-11-13 23:04:21
49,puerto natales,-51.7236,-72.4875,3.51,71,53,5.21,CL,2023-11-13 23:04:21
50,margaret river,-33.95,115.0667,15.5,86,99,5.3,AU,2023-11-13 23:04:23
51,manda,-10.4667,34.5833,25.66,72,69,3.15,TZ,2023-11-13 23:04:23
52,happy valley-goose bay,53.3168,-60.3315,-1.83,69,75,4.63,CA,2023-11-13 23:03:10
53,aasiaat,68.7098,-52.8699,-10.29,85,100,2.43,GL,2023-11-13 23:04:23
54,sao gabriel da cachoeira,-0.1303,-67.0892,26.27,83,90,1.29,BR,2023-11-13 23:04:23
55,port lincoln,-34.7333,135.8667,15.35,77,100,5.03,AU,2023-11-13 23:04:24
56,hadibu,12.65,54.0333,26.21,87,98,4.24,YE,2023-11-13 23:04:24
57,kruisfontein,-34.0033,24.7314,13.28,82,81,4.14,ZA,2023-11-13 23:04:24
58,kalmunai,7.4167,81.8167,25.09,89,100,1.81,LK,2023-11-13 23:04:24
